"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","test_create_website_unauthenticated_returns_401","tests","Sun May 10 04:36:29 UTC 2026","passed","Sun May 10 04:36:29 UTC 2026","","test_website_crud","",""
"","11","test_update_website_title","tests","Sun May 10 04:36:29 UTC 2026","passed","Sun May 10 04:36:29 UTC 2026","","test_website_crud","",""
"","4","test_build_status_unknown_website_returns_404","tests","Sun May 10 04:36:31 UTC 2026","passed","Sun May 10 04:36:31 UTC 2026","","test_website_crud","",""
"","277","test_register_duplicate_email_returns_409","tests","Sun May 10 04:36:26 UTC 2026","passed","Sun May 10 04:36:26 UTC 2026","","test_auth","",""
"","271","test_login_wrong_password_returns_401","tests","Sun May 10 04:36:28 UTC 2026","passed","Sun May 10 04:36:28 UTC 2026","","test_auth","",""
"","279","test_register_creates_user","tests","Sun May 10 04:36:26 UTC 2026","passed","Sun May 10 04:36:26 UTC 2026","","test_auth","",""
"","2","test_me_missing_token_returns_401","tests","Sun May 10 04:36:28 UTC 2026","passed","Sun May 10 04:36:28 UTC 2026","","test_auth","",""
"","11","test_create_website_returns_id","tests","Sun May 10 04:36:29 UTC 2026","passed","Sun May 10 04:36:29 UTC 2026","","test_website_crud","",""
"","3","test_me_invalid_token_returns_401","tests","Sun May 10 04:36:28 UTC 2026","passed","Sun May 10 04:36:28 UTC 2026","","test_auth","",""
"With a mocked verify_webhook, subscription.updated should update the user plan.","3","test_webhook_subscription_updated_changes_plan","tests","Sun May 10 04:36:28 UTC 2026","passed","Sun May 10 04:36:28 UTC 2026","","test_payment_webhook","",""
"customer.subscription.deleted should reset user plan to 'free'.","2","test_webhook_subscription_deleted_resets_to_free","tests","Sun May 10 04:36:28 UTC 2026","passed","Sun May 10 04:36:28 UTC 2026","","test_payment_webhook","",""
"","4","test_me_returns_user_info","tests","Sun May 10 04:36:28 UTC 2026","passed","Sun May 10 04:36:28 UTC 2026","","test_auth","",""
"Supplying an incorrect OTP must be rejected.","272","test_verify_otp_bad_code_returns_400","tests","Sun May 10 04:36:27 UTC 2026","passed","Sun May 10 04:36:27 UTC 2026","","test_auth","",""
"","6","test_delete_website","tests","Sun May 10 04:36:30 UTC 2026","passed","Sun May 10 04:36:30 UTC 2026","","test_website_crud","",""
"slowapi should attach X-RateLimit-* headers on auth endpoints.","272","test_register_rate_limit_header_present","tests","Sun May 10 04:36:26 UTC 2026","passed","Sun May 10 04:36:27 UTC 2026","","test_auth","",""
"","3","test_create_website_unknown_theme_returns_400","tests","Sun May 10 04:36:29 UTC 2026","passed","Sun May 10 04:36:29 UTC 2026","","test_website_crud","",""
"","2","test_webhook_missing_signature_returns_400","tests","Sun May 10 04:36:28 UTC 2026","passed","Sun May 10 04:36:28 UTC 2026","","test_payment_webhook","",""
"","3","test_login_unknown_email_returns_401","tests","Sun May 10 04:36:28 UTC 2026","passed","Sun May 10 04:36:28 UTC 2026","","test_auth","",""
"","6","test_update_website_nothing_to_update","tests","Sun May 10 04:36:30 UTC 2026","passed","Sun May 10 04:36:30 UTC 2026","","test_website_crud","",""
"A user cannot delete another user's website.","274","test_delete_website_other_user_returns_404","tests","Sun May 10 04:36:30 UTC 2026","passed","Sun May 10 04:36:30 UTC 2026","","test_website_crud","",""
"","2","test_webhook_invalid_signature_returns_400","tests","Sun May 10 04:36:28 UTC 2026","passed","Sun May 10 04:36:28 UTC 2026","","test_payment_webhook","",""
"","274","test_login_returns_token","tests","Sun May 10 04:36:27 UTC 2026","passed","Sun May 10 04:36:28 UTC 2026","","test_auth","",""
